country_name,population
Switzerland,6674000
Netherlands,14952000
Belgium,9967379
Germany,79433029
France,56707000
Luxembourg,381900
Italy,56719240
Denmark,5141115
United Kingdom,57247586
Austria,7677850
Sweden,8559000
Monaco,29972
Norway,4241473
Yugoslavia,23818000
Spain,39202525
Finland,4986431
Portugal,9983218
Ireland,3515000
Malta,352430
Israel,4660000
Greece,10160000
Turkey,53921760
Morocco,24807462
Cyprus,766615
Iceland,255866
Croatia,4776374
Bosnia & Herzegovina,4377033
Slovenia,1999945
Poland,38110782
Hungary,10373988
Russia,148005704
Slovakia,5298288
Romania,23489000
Estonia,1570599
Lithuania,3704134
North Macedonia,1996869
Latvia,2658161
Ukraine,51944000
Serbia & Montenegro,9791475
Albania,3286070
Andorra,54507
Belarus,10189000
Moldova,4364813
Bulgaria,8718289
Armenia,3574480
Serbia,7824000
Georgia,5464000
Montenegro,615035
Czech Republic,10362000
Azerbaijan,7218500
San Marino,23186
Australia,17065100
